Orig,Annotator_1,Annotator_2,Annotator_3,File
gnyan,ganyan,ganyan,ganyan,train
gr8,great,great,great,train
gud,good,good,good,train
gvi,gabi,gabi,gabi,train
gwa,gawa,gawa,gawa,train
h0pe,hope,hope,hope,train
habng,habang,habang,habang,train
hangn,hangin,hangin,hangin,train
hnd,hindi,hindi,hindi,train
hndi,hindi,hindi,hindi,train
hnggng,hanggang,hanggang,hanggang,train
hwag,huwag,huwag,huwag,train
i layo,ilayo,ilayo,ilayo,train
i2,ito,ito,ito,train
ibg,ibig,ibig,ibig,train
icp,isip,isip,isip,train
ingt,ingat,ingat,ingat,train
iniicp,iniisip,iniisip,iniisip,train
ipag dasal,ipagdasal,ipagdasal,ipagdasal,train
jan,diyan,diyan,diyan,train
jn,diyan,diyan,diyan,train
k,ka,okay,ka,train
kaba,ka ba,ka ba,ka ba,train
kailngan,kailangan,kailangan,kailangan,train
kakatpoz,katatapos,kakatapos,kakatapos,train
kana,ka na,ka na,ka na,train
kania,kaniya,kanya,kanya,train
kau,kayo,kayo,kayo,train
kawa2,kawawa,kawawa,kawawa,train
kc,kasi,kasi,kasi,train
kci,kasi,kasi,kasi,train
kelangan,kailangan,kailangan,kailangan,train
khit,kahit,kahit,kahit,train
kkilabot,kakilabot,kakilabot,kikilabot,train
kla,kila,sila,kila,train
kme,kami,kami,kami,train
kn,ka na,ka na,ka na,train
kna,ka na,ka na,ka na,train
kng,kung,kung,kong,train
kp,ka pa,ka pa,ka pa,train
kphmakan,kapahamakan,kapahamakan,kapahamakan,train
ksma,kasama,kasama,kasama,train
ktabi,katabi,katabi,katabi,train
kun,kung,kung,kung,train
kya,kaya,kaya,kaya,train
la2ki,lalaki,lalaki,lalaki,train
lage,lagi,lagi,lagi,train
lhat,lahat,lahat,lahat,train
lht,lahat,lahat,lahat,train
lng,lang,lang,lang,train
m,mo,mo,mo,train
m0rning,morning,morning,morning,train
ma2loy,matutuloy,matuloy,matuloy,train
maapek2han,maapektuhan,maapektuhan,maapektuhan,train
maapktuhan,maapektuhan,maapektuhan,maapektuhan,train
mageng,maging,maging,maging,train
magkakat0t0o,magkakatotoo,magkatotoo,magkakatotoo,train
magpasalamt,magpasalamat,magpasalamat,magpasalamat,train
maherap,mahirap,mahirap,mahirap,train
malasakt,malasakit,makasakit,malasakit,train
matu2naw,matutunaw,matutunaw,matutunaw,train
mbahaan,mabahaan,mabahaan,mabahaan,train
mejo,medyo,medyo,medyo,train
mg,mag,mag,mag,train
mganda,maganda,maganda,maganda,train
mggwa,magagawa,maggawa,magagawa,train
mgiingt,magiingat,mangiingit,magiingat,train
mging,maging,maging,maging,train
mgingt,magingat,magingat,maging,train
mgkr0n,magkaroon,magkaroon,magkaroon,train
mgppkampante,magpapakampante,magpapakampante,magpapakampante,train
mgppsko,magpapasko,magpapasko,magpapasko,train
mgpray,magpray,magpray,magpray,train
mgsalita,magsalita,magsalita,magsalita,train
mgsi2datingan,magsisidatingan,magsisidatingan,magsisidatingan,train
mhal,mahal,mahal,mahal,train
mkasalanan,makasalanan,makasalanan,makasalanan,train
mkitd,makitid,makitid,makitid,train
mla2gay,malalagay,malalagay,malalagay,train
mlaki,malaki,malaki,malaki,train
mlapit,malapit,malapit,malapit,train
mlyo,malayo,malayo,malayo,train
mmukhang,mumukhang,mukhang,magmukhang,train
mn,muna,muna,man,train
morng,morning,morning,morning,train
mphmak,mapahamak,mapahamak,mapahamak,train
mrami,marami,marami,marami,train
mrnsn,maranasan,maranasan,maranasan,train
ms,mas,miss,mas,train
msaktan,masaktan,masaktan,masaktan,train
msama,masama,masama,masama,train
msira,masira,masira,masira,train
mskit,masakit,masakit,masakit,train
msktan,masaktan,masaktan,masaktan,train
msma,masama,masama,masama,train
msyado,masyado,masyado,masyado,train
mtitikman,matitikman,matitikman,matitikman,train
mtmaan,matamaan,matamaan,matamaan,train
mttgas,matitigas,matitigas,matitigas,train
mttmaan,matatamaan,matatamaan,matatamaan,train
mu,mo,mo,mo,train
mwalan,mawalan,malawan,mawalan,train
mwla,mawala,mawala,mawala,train
my,may,may,may,train
n,na,na,na,train
n0body,nobody,nobody,nobody,train
nabgyo,nabagyo,nabagyo,nabagyo,train
nagdul0t,nagdulot,nagdulot,nagdulot,train
naghi2ntay,naghihintay,naghihintay,naghihintay,train
nagppakita,nagpapakita,nagpapakita,nagpapakita,train
nah,na,na,na,train
naka2,nakaka,nakaka,nakaka,train
nakkita,nakikita,nakikita,nakikita,train
naleto,nalito,nalito,nalito,train
nalng,nalang,nalang,nalang,train
namn,naman,naman,naman,train
nangya2ri,nangyayari,nangyayari,nangyayari,train
nappagod,napapagod,napapagod,napapagod,train
nd,hindi,hindi,hindi,train
ne,niya,any,ni,train
nea,niya,niya,niya,train
ngaalala,nagaalala,nagaalala,nagaalala,train
ngaun,ngayon,ngayon,ngayon,train
ngdadasal,nagdarasal,nagdadasal,nagdadasal,train
ngyari,nangyari,nangyari,nangyari,train
ngyri,nangyari,nangyari,nangyari,train
ngyun,ngayon,ngayon,ngayon,train
ngyyri,nangyayari,nangyayari,nangyayari,train
nio,niyo,niyo,niyo,train
nka2bangon,nakakabangon,nakakabangon,nakakabangon,train
nkkawa,nakakaawa,nakakaawa,nakakaawa,train
nkktkt,nakikita,nakakatakot,nakakatakot,train
nkraang,nakaraang,nakaraang,nakaraang,train
nku,nako,nako,nako,train
nl,nila,nila,nila,train
nla,nila,nila,nila,train
nlng,nalang,nalang,nalang,train
nman,naman,naman,naman,train
nmang,namang,namang,namang,train
nmen,namin,namin,namin,train
nmn,naman,namin,naman,train
nnaman,na naman,na naman,na naman,train
nnamn,na naman,na naman,na naman,train
nngailngn,nangailangan,nangailangan,nangailangan,train
npapakinggan,napapakinggan,napapakinggan,napapakinggan,train
nrin,narin,narin,narin,train
nring,narinig,naring,na ring,train
nsa,nasa,nasa,nasa,train
nsabi,nasabi,nasabi,nasabi,train
ntin,natin,natin,natin,train
nttwa,natatawa,natatawa,natatawa,train
nwln,nawalan,nawalan,nawalan,train
nyan,niyan,niyan,niyan,train
nyo,niyo,niyo,niyo,train
p,pa,pa,pa,train
paba2yaan,pababayaan,pababayaan,pababayaan,train
pangin0on,panginoon,panginoon,panginoon,train
paraw,pa raw,pa raw,paaraw,train
pask0,pasko,pasko,pasko,train
pba,pa ba,pa ba,pa ba,train
pbyaan,pabayaan,pabayaan,pabayaan,train
pde,pwede,pwede,pwede,train
pdin,pa din,pa din,pa din,train
pede,pwede,pwede,pwede,train
pg,pag,pag,pag,train
pinaki2nggan,pinakikinggan,pinakikinggan,pinakikinggan,train
pla,pala,pala,pala,train
plage,palagi,palagi,palagi,train
plng,palang,palang,palang,train
pls,please,please,please,train
plz,please,please,please,train
pmilya,pamilya,pamilya,pamilya,train
pmlya,pamilya,pamilya,pamilya,train
pnapnalangin,pinapangalanin,pinapalangin,pinapanalangin,train
png,pang,panginoon,pang,train
pngssbi,pinagsasabi,pinagsasabi,pinagsasabi,train
poceblidad,posibilidad,possibilidad,posibilidad,train
poe,po,po,po,train
ppbyaan,papabayaan,papabayaan,papabayaan,train
pptak,pipitak,papatak,papatak,train
pra,para,para,para,train
pring,paring,paring,paring,train
prn,parang,parin,pa rin,train
prng,parang,paring,parang,train
pro,pero,pero,pero,train
ptak,pitak,patak,patak,train
pwd,pwede,pwede,pwede,train
pwdi,pwede,pwede,pwede,train
q,ko,ko,ko,train
qna,ko na,ko na,ko na,train
r,are,raw,are,train
rgard,regard,regard,regard,train
s,sa,sa,sa,train
sabagay,sabagay,sabagay,sabagay,train
sainyo,sa inyo,sa inyo,sa inyo,train
samen,sa amin,sa amin,sa amin,train
samin,sa amin,sa amin,sa amin,train
savi,sabi,sabi,sabi,train
sbay,sabay,sabay,sabay,train
sbihin,sabihin,sabihin,sabihin,train
sbuhay,sabuhay,sabuhay,sabuhay,train
sby,sabay,sabay,sabay,train
sgnal,signal,signal,signal,train
slmt,salamat,salamat,salamat,train
smahan,samahan,samahan,samahan,train
smen,sa amin,samin,sa amin,train
smin,sa amin,samin,sa amin,train
sna,sina,sina,sina,train
snsabi,sinasabi,sinasabi,sinasabi,train
su2nod,susunod,susunod,susunod,train
svi,sabi,sabi,sabi,train
t0,to,ito,ito,train
tatma,tatama,tatama,tatama,train
tau,tayo,tayo,tayo,train
teu,tayo,tayo,tayo,train
tga,taga,taga,taga,train
thanxs,thanks,thanks,thanks,train
thnks,thanks,thanks,thanks,train
tkot,takot,takot,takot,train
tlg,talaga,talaga,talaga,train
tluyan,tuluyan,tuluyan,tuluyan,train
tnx,thanks,thanks,thanks,train
tska,tsaka,tsaka,tsaka,train
ttma,tatama,tatama,tatama,train
tulongan,tulungan,tulungan,tulungan,train
twla,tiwala,tiwala,tiwala,train
ty0,tayo,tayo,tayo,train
tym,time,time,thank you,train
tyong,tayong,tayong,tayong,train
uag,huwag,wag,huwag,train
ult,ulit,ulit,ulit,train
ultin,ulitin,ulitin,ulitin,train
umaarw,umaaraw,umaaraw,umaaraw,train
un,iyon,yun,iyon,train
ur,your,you're,your,train
walng,walang,walang,walang,train
wg,huwag,wag,huwag,train
wkas,wakas,wakas,wakas,train
wla,wala,walang,wala,train
xa,siya,siya,siya,train
xabi,sabi,sabi,sabi,train
yan,iyan,iyan,iyan,train
yn,iyan,iyan,iyan,train
yta,yata,yata,yata,train
0n,on,on,on,test
2mama,tumama,tumama,tumama,test
2naw,tunaw,tunaw,tunaw,test
ah0n,ahon,ahon,ahon,test
alm,alam,alam,alam,test
anjan,nandiyan,andiyan,nandiyan,test
cnic,si nick,scenic,scenic,test
cntro,sentro,centro,sentro,test
cya,siya,siya,siya,test
destructi0n,destruction,destruction,destruction,test
dng,ding,ding,ding,test
engat,ingat,ingat,ingat,test
ginagavi,ginagabi,ginagabi,ginagabi,test
gnagabi,ginagabi,ginagabi,ginagabi,test
gumagawah,gumagawa,gumagawa,gumagawa,test
herap,hirap,hirap,hirap,test
hin2,hindi,hinto,hinto,test
hnggang,hanggang,hanggang,hanggang,test
kb,ka ba,ka ba,ka ba,test
kbabayan,kababayan,kababayan,kababayan,test
kbbyan,kababayan,kababayan,kababayan,test
kelan,kailan,kailan,kailan,test
klaki,kalaki,kalaki,kalaki,test
kmi,kami,kami,kami,test
kmsta,kumusta,kamusta,kumusta,test
koh,ko,ko,ko,test
lanq,lang,lang,lang,test
ma2naw,matutunaw,matunaw,matunaw,test
manaliq,manalig,manalik,manalig,test
mappnta,mapupunta,mapupunta,mapupunta,test
masktan,masaktan,masaktan,masaktan,test
mbahala,mabahala,mabahala,mabahala,test
mgbabaha,magbabaha,magbabaha,magbabaha,test
mggawa,magagawa,magagawa,magagawa,test
mghapon,maghapon,maghapon,maghapon,test
mgkar00n,magkaroon,magkaroon,magkaroon,test
mglaho,maglaho,maglaho,maglaho,test
mglandfall,maglandfall,maglandfall,maglandfall,test
mglaro,maglaro,maglaro,maglaro,test
mgpakampante,magpakampante,magpakampante,magpakampante,test
mgpasalamat,magpasalamat,magpasalamat,magpasalamat,test
mgppsko,magpapasko,magpapasko,magpapasko,test
mhangin,mahangin,mahangin,mahangin,test
mhirap,mahirap,mahirap,mahirap,test
mkakaya,makakaya,makakaya,makakaya,test
mkitid,makitid,makitid,makitid,test
mkpg,makapag,makapag,makipag,test
mlagay,malagay,malagay,malagay,test
mlakas,malakas,malakas,malakas,test
mlmig,malamig,malamig,malamig,test
mlpit,malapit,malapit,malapit,test
mlusaw,malusaw,malusaw,malusaw,test
mppkinggan,mapapakinggan,mapapakinggan,mapapakinggan,test
msyadong,masyadong,masyadong,masyadong,test
n0rthern,northern,northern,northern,test
na2wa,natutuwa,natuwa,natuwa,test
nagdul0t,nagdulot,nagdulot,nagdulot,test
naka2ah0n,nakakaahon,nakakaahon,nakakaahon,test
naka2lito,nakakalito,nakakalito,nakakalito,test
nde,hindi,hindi,hindi,test
ndi,hindi,hindi,hindi,test
ngaung,ngayong,ngayong,ngayong,test
ngay0n,ngayong,ngayon,ngayon,test
ngddsal,nadarasal,nagdadasal,nagdadasal,test
ngyn,ngayong,ngayon,ngayon,test
nkakagets,nakakagets,nakakagets,nakakagets,test
nkakalungkot,nakakalungkot,nakakalungkot,nakakalungkot,test
nkakarecover,nakakarecover,nakakarecover,nakakarecover,test
npkrming,napakaraming,napakaraming,napakaraming,test
ntn,natin,natin,natin,test
paanu,paano,paano,paano,test
pe0ple,people,people,people,test
pguugali,paguugali,paguugali,paguugali,test
pki,paki,paki,paki,test
plagi,palagi,palagi,palagi,test
poh,po,po,po,test
ppbayaan,papabayaan,papabayaan,papabayaan,test
pplapit,papalapit,papalapit,papalapit,test
prin,pa rin,pa rin,pa rin,test
pwdeng,pwedeng,pwedeng,pwedeng,test
rep0rt,report,report,report,test
saamin,sa amin,saamin,sa amin,test
salamt,salamat,salamat,salamat,test
sanah,sana,sana,sana,test
sbi,sabi,sabi,sabi,test
sguro,siguro,siguro,siguro,test
sming,sa aming,saming,sa aming,test
snasabi,sinasabi,sinasabi,sinasabi,test
sya,siya,siya,siya,test
taung,taong,taong,tayong,test
tlga,talaga,talaga,talaga,test
tma,tama,tama,tama,test
ttgil,titigil,titigil,titigil,test
tyo,tayo,tayo,tayo,test
ung,yung,yung,iyong,test
wlang,walang,walang,walang,test
wlng,walang,walang,walang,test
xana,sana,sana,sana,test
xero,zero,zero,xerox,test
yng,yung,yung,yung,test
